"","nosite","noyear","eff","days","freq","prox"
"8",100,5,0.001,2,1,"1_100"
"11",200,5,0.001,2,1,"1_200"
"13",300,5,0.001,2,1,"1_300"
"14",400,5,0.001,2,1,"1_400"
"15",500,5,0.001,2,1,"1_500"
"16",600,5,0.001,2,1,"1_600"
"24",100,10,0.001,2,1,"1_100"
"27",200,10,0.001,2,1,"1_200"
"29",300,10,0.001,2,1,"1_300"
"30",400,10,0.001,2,1,"1_400"
"31",500,10,0.001,2,1,"1_500"
"32",600,10,0.001,2,1,"1_600"
"40",100,20,0.001,2,1,"1_100"
"43",200,20,0.001,2,1,"1_200"
"45",300,20,0.001,2,1,"1_300"
"46",400,20,0.001,2,1,"1_400"
"47",500,20,0.001,2,1,"1_500"
"48",600,20,0.001,2,1,"1_600"
"56",100,25,0.001,2,1,"1_100"
"59",200,25,0.001,2,1,"1_200"
"61",300,25,0.001,2,1,"1_300"
"62",400,25,0.001,2,1,"1_400"
"63",500,25,0.001,2,1,"1_500"
"64",600,25,0.001,2,1,"1_600"
"72",100,5,0.002,2,1,"1_100"
"75",200,5,0.002,2,1,"1_200"
"77",300,5,0.002,2,1,"1_300"
"78",400,5,0.002,2,1,"1_400"
"79",500,5,0.002,2,1,"1_500"
"80",600,5,0.002,2,1,"1_600"
"88",100,10,0.002,2,1,"1_100"
"91",200,10,0.002,2,1,"1_200"
"93",300,10,0.002,2,1,"1_300"
"94",400,10,0.002,2,1,"1_400"
"95",500,10,0.002,2,1,"1_500"
"96",600,10,0.002,2,1,"1_600"
"104",100,20,0.002,2,1,"1_100"
"107",200,20,0.002,2,1,"1_200"
"109",300,20,0.002,2,1,"1_300"
"110",400,20,0.002,2,1,"1_400"
"111",500,20,0.002,2,1,"1_500"
"112",600,20,0.002,2,1,"1_600"
"120",100,25,0.002,2,1,"1_100"
"123",200,25,0.002,2,1,"1_200"
"125",300,25,0.002,2,1,"1_300"
"126",400,25,0.002,2,1,"1_400"
"127",500,25,0.002,2,1,"1_500"
"128",600,25,0.002,2,1,"1_600"
"136",100,5,0.01,2,1,"1_100"
"139",200,5,0.01,2,1,"1_200"
"141",300,5,0.01,2,1,"1_300"
"142",400,5,0.01,2,1,"1_400"
"143",500,5,0.01,2,1,"1_500"
"144",600,5,0.01,2,1,"1_600"
"152",100,10,0.01,2,1,"1_100"
"155",200,10,0.01,2,1,"1_200"
"157",300,10,0.01,2,1,"1_300"
"158",400,10,0.01,2,1,"1_400"
"159",500,10,0.01,2,1,"1_500"
"160",600,10,0.01,2,1,"1_600"
"168",100,20,0.01,2,1,"1_100"
"171",200,20,0.01,2,1,"1_200"
"173",300,20,0.01,2,1,"1_300"
"174",400,20,0.01,2,1,"1_400"
"175",500,20,0.01,2,1,"1_500"
"176",600,20,0.01,2,1,"1_600"
"184",100,25,0.01,2,1,"1_100"
"187",200,25,0.01,2,1,"1_200"
"189",300,25,0.01,2,1,"1_300"
"190",400,25,0.01,2,1,"1_400"
"191",500,25,0.01,2,1,"1_500"
"192",600,25,0.01,2,1,"1_600"
"200",100,5,0.001,4,1,"1_100"
"203",200,5,0.001,4,1,"1_200"
"205",300,5,0.001,4,1,"1_300"
"206",400,5,0.001,4,1,"1_400"
"207",500,5,0.001,4,1,"1_500"
"208",600,5,0.001,4,1,"1_600"
"216",100,10,0.001,4,1,"1_100"
"219",200,10,0.001,4,1,"1_200"
"221",300,10,0.001,4,1,"1_300"
"222",400,10,0.001,4,1,"1_400"
"223",500,10,0.001,4,1,"1_500"
"224",600,10,0.001,4,1,"1_600"
"232",100,20,0.001,4,1,"1_100"
"235",200,20,0.001,4,1,"1_200"
"237",300,20,0.001,4,1,"1_300"
"238",400,20,0.001,4,1,"1_400"
"239",500,20,0.001,4,1,"1_500"
"240",600,20,0.001,4,1,"1_600"
"248",100,25,0.001,4,1,"1_100"
"251",200,25,0.001,4,1,"1_200"
"253",300,25,0.001,4,1,"1_300"
"254",400,25,0.001,4,1,"1_400"
"255",500,25,0.001,4,1,"1_500"
"256",600,25,0.001,4,1,"1_600"
"264",100,5,0.002,4,1,"1_100"
"267",200,5,0.002,4,1,"1_200"
"269",300,5,0.002,4,1,"1_300"
"270",400,5,0.002,4,1,"1_400"
"271",500,5,0.002,4,1,"1_500"
"272",600,5,0.002,4,1,"1_600"
"280",100,10,0.002,4,1,"1_100"
"283",200,10,0.002,4,1,"1_200"
"285",300,10,0.002,4,1,"1_300"
"286",400,10,0.002,4,1,"1_400"
"287",500,10,0.002,4,1,"1_500"
"288",600,10,0.002,4,1,"1_600"
"296",100,20,0.002,4,1,"1_100"
"299",200,20,0.002,4,1,"1_200"
"301",300,20,0.002,4,1,"1_300"
"302",400,20,0.002,4,1,"1_400"
"303",500,20,0.002,4,1,"1_500"
"304",600,20,0.002,4,1,"1_600"
"312",100,25,0.002,4,1,"1_100"
"315",200,25,0.002,4,1,"1_200"
"317",300,25,0.002,4,1,"1_300"
"318",400,25,0.002,4,1,"1_400"
"319",500,25,0.002,4,1,"1_500"
"320",600,25,0.002,4,1,"1_600"
"328",100,5,0.01,4,1,"1_100"
"331",200,5,0.01,4,1,"1_200"
"333",300,5,0.01,4,1,"1_300"
"334",400,5,0.01,4,1,"1_400"
"335",500,5,0.01,4,1,"1_500"
"336",600,5,0.01,4,1,"1_600"
"344",100,10,0.01,4,1,"1_100"
"347",200,10,0.01,4,1,"1_200"
"349",300,10,0.01,4,1,"1_300"
"350",400,10,0.01,4,1,"1_400"
"351",500,10,0.01,4,1,"1_500"
"352",600,10,0.01,4,1,"1_600"
"360",100,20,0.01,4,1,"1_100"
"363",200,20,0.01,4,1,"1_200"
"365",300,20,0.01,4,1,"1_300"
"366",400,20,0.01,4,1,"1_400"
"367",500,20,0.01,4,1,"1_500"
"368",600,20,0.01,4,1,"1_600"
"376",100,25,0.01,4,1,"1_100"
"379",200,25,0.01,4,1,"1_200"
"381",300,25,0.01,4,1,"1_300"
"382",400,25,0.01,4,1,"1_400"
"383",500,25,0.01,4,1,"1_500"
"384",600,25,0.01,4,1,"1_600"
"392",100,5,0.001,6,1,"1_100"
"395",200,5,0.001,6,1,"1_200"
"397",300,5,0.001,6,1,"1_300"
"398",400,5,0.001,6,1,"1_400"
"399",500,5,0.001,6,1,"1_500"
"400",600,5,0.001,6,1,"1_600"
"408",100,10,0.001,6,1,"1_100"
"411",200,10,0.001,6,1,"1_200"
"413",300,10,0.001,6,1,"1_300"
"414",400,10,0.001,6,1,"1_400"
"415",500,10,0.001,6,1,"1_500"
"416",600,10,0.001,6,1,"1_600"
"424",100,20,0.001,6,1,"1_100"
"427",200,20,0.001,6,1,"1_200"
"429",300,20,0.001,6,1,"1_300"
"430",400,20,0.001,6,1,"1_400"
"431",500,20,0.001,6,1,"1_500"
"432",600,20,0.001,6,1,"1_600"
"440",100,25,0.001,6,1,"1_100"
"443",200,25,0.001,6,1,"1_200"
"445",300,25,0.001,6,1,"1_300"
"446",400,25,0.001,6,1,"1_400"
"447",500,25,0.001,6,1,"1_500"
"448",600,25,0.001,6,1,"1_600"
"456",100,5,0.002,6,1,"1_100"
"459",200,5,0.002,6,1,"1_200"
"461",300,5,0.002,6,1,"1_300"
"462",400,5,0.002,6,1,"1_400"
"463",500,5,0.002,6,1,"1_500"
"464",600,5,0.002,6,1,"1_600"
"472",100,10,0.002,6,1,"1_100"
"475",200,10,0.002,6,1,"1_200"
"477",300,10,0.002,6,1,"1_300"
"478",400,10,0.002,6,1,"1_400"
"479",500,10,0.002,6,1,"1_500"
"480",600,10,0.002,6,1,"1_600"
"488",100,20,0.002,6,1,"1_100"
"491",200,20,0.002,6,1,"1_200"
"493",300,20,0.002,6,1,"1_300"
"494",400,20,0.002,6,1,"1_400"
"495",500,20,0.002,6,1,"1_500"
"496",600,20,0.002,6,1,"1_600"
"504",100,25,0.002,6,1,"1_100"
"507",200,25,0.002,6,1,"1_200"
"509",300,25,0.002,6,1,"1_300"
"510",400,25,0.002,6,1,"1_400"
"511",500,25,0.002,6,1,"1_500"
"512",600,25,0.002,6,1,"1_600"
"520",100,5,0.01,6,1,"1_100"
"523",200,5,0.01,6,1,"1_200"
"525",300,5,0.01,6,1,"1_300"
"526",400,5,0.01,6,1,"1_400"
"527",500,5,0.01,6,1,"1_500"
"528",600,5,0.01,6,1,"1_600"
"536",100,10,0.01,6,1,"1_100"
"539",200,10,0.01,6,1,"1_200"
"541",300,10,0.01,6,1,"1_300"
"542",400,10,0.01,6,1,"1_400"
"543",500,10,0.01,6,1,"1_500"
"544",600,10,0.01,6,1,"1_600"
"552",100,20,0.01,6,1,"1_100"
"555",200,20,0.01,6,1,"1_200"
"557",300,20,0.01,6,1,"1_300"
"558",400,20,0.01,6,1,"1_400"
"559",500,20,0.01,6,1,"1_500"
"560",600,20,0.01,6,1,"1_600"
"568",100,25,0.01,6,1,"1_100"
"571",200,25,0.01,6,1,"1_200"
"573",300,25,0.01,6,1,"1_300"
"574",400,25,0.01,6,1,"1_400"
"575",500,25,0.01,6,1,"1_500"
"576",600,25,0.01,6,1,"1_600"
"581",50,5,0.001,2,2,"2_50"
"584",100,5,0.001,2,2,"2_100"
"586",150,5,0.001,2,2,"2_150"
